,cf_analysis_id,extract_date,transaction_date,unique_reference_id,reference_dimension,cashflow_type,cashflow_status,cashflow,time_to_maturity,discount_factor,present_value,currency,asset_liability_type,product_variant_name,fund,portfolio,cohort,entity,position_id,created_by,modified_by,created_date,modified_date
0,20th Jan 2025,2024-07-31,2024-07-31,0456PLA00061377,Security,Accrued Interest,Unrealised,2539.0,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
1,20th Jan 2025,2024-07-31,2024-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2914.4954918032786,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
2,20th Jan 2025,2024-07-31,2024-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4271.504508196722,0.01366120218579235,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
3,20th Jan 2025,2024-07-31,2024-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2860.2263771499597,0.09836065573770492,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
4,20th Jan 2025,2024-07-31,2024-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4325.77362285004,0.09836065573770492,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
5,20th Jan 2025,2024-07-31,2024-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2714.775268880572,0.18032786885245902,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
6,20th Jan 2025,2024-07-31,2024-10-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4471.224731119428,0.18032786885245902,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
7,20th Jan 2025,2024-07-31,2024-11-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2748.461234128216,0.2650273224043716,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
8,20th Jan 2025,2024-07-31,2024-11-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4437.538765871785,0.2650273224043716,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
9,20th Jan 2025,2024-07-31,2024-12-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2605.2412914585493,0.3469945355191257,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
10,20th Jan 2025,2024-07-31,2024-12-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4580.758708541451,0.3469945355191257,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
11,20th Jan 2025,2024-07-31,2025-01-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2641.100625849056,0.4328767123287671,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
12,20th Jan 2025,2024-07-31,2025-01-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4544.899374150944,0.4328767123287671,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
13,20th Jan 2025,2024-07-31,2025-02-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2583.1998530002843,0.5178082191780822,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
14,20th Jan 2025,2024-07-31,2025-02-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4602.800146999716,0.5178082191780822,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
15,20th Jan 2025,2024-07-31,2025-03-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2280.249042732969,0.5945205479452055,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
16,20th Jan 2025,2024-07-31,2025-03-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4905.7509572670315,0.5945205479452055,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
17,20th Jan 2025,2024-07-31,2025-04-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2462.06351701442,0.6794520547945205,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
18,20th Jan 2025,2024-07-31,2025-04-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4723.93648298558,0.6794520547945205,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
19,20th Jan 2025,2024-07-31,2025-05-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2324.401800435829,0.7616438356164383,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
20,20th Jan 2025,2024-07-31,2025-05-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4861.5981995641705,0.7616438356164383,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
21,20th Jan 2025,2024-07-31,2025-06-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2339.9464313326216,0.8465753424657534,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
22,20th Jan 2025,2024-07-31,2025-06-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4846.053568667378,0.8465753424657534,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
23,20th Jan 2025,2024-07-31,2025-07-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2204.7184224713305,0.9287671232876712,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
24,20th Jan 2025,2024-07-31,2025-07-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4981.281577528669,0.9287671232876712,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
25,20th Jan 2025,2024-07-31,2025-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2214.748873990672,1.012311901504788,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
26,20th Jan 2025,2024-07-31,2025-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,4971.251126009328,1.012311901504788,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
27,20th Jan 2025,2024-07-31,2025-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2151.416496631923,1.0971272229822162,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
28,20th Jan 2025,2024-07-31,2025-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5034.583503368077,1.0971272229822162,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
29,20th Jan 2025,2024-07-31,2025-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2019.9457569067351,1.1792065663474691,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
30,20th Jan 2025,2024-07-31,2025-10-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5166.054243093265,1.1792065663474691,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
31,20th Jan 2025,2024-07-31,2025-11-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,2021.4631664372785,1.2640218878248974,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
32,20th Jan 2025,2024-07-31,2025-11-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5164.536833562722,1.2640218878248974,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
33,20th Jan 2025,2024-07-31,2025-12-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1892.58230527673,1.3461012311901506,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
34,20th Jan 2025,2024-07-31,2025-12-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5293.41769472327,1.3461012311901506,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
35,20th Jan 2025,2024-07-31,2026-01-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1888.2316909399367,1.4315693430656935,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
36,20th Jan 2025,2024-07-31,2026-01-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5297.768309060063,1.4315693430656935,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
37,20th Jan 2025,2024-07-31,2026-02-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1820.7395741258838,1.5164233576642336,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
38,20th Jan 2025,2024-07-31,2026-02-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5365.260425874116,1.5164233576642336,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
39,20th Jan 2025,2024-07-31,2026-03-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1582.8017269215838,1.593065693430657,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
40,20th Jan 2025,2024-07-31,2026-03-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5603.198273078417,1.593065693430657,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
41,20th Jan 2025,2024-07-31,2026-04-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1681.004415358406,1.6779197080291972,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
42,20th Jan 2025,2024-07-31,2026-04-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5504.995584641594,1.6779197080291972,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
43,20th Jan 2025,2024-07-31,2026-05-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1558.9086578981035,1.760036496350365,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
44,20th Jan 2025,2024-07-31,2026-05-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5627.091342101897,1.760036496350365,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
45,20th Jan 2025,2024-07-31,2026-06-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1539.1846777985234,1.844890510948905,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
46,20th Jan 2025,2024-07-31,2026-06-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5646.815322201477,1.844890510948905,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
47,20th Jan 2025,2024-07-31,2026-07-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1419.9152880642264,1.927007299270073,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
48,20th Jan 2025,2024-07-31,2026-07-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5766.084711935773,1.927007299270073,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
49,20th Jan 2025,2024-07-31,2026-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1393.7874581855417,2.0118613138686134,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
50,20th Jan 2025,2024-07-31,2026-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5792.212541814459,2.0118613138686134,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
51,20th Jan 2025,2024-07-31,2026-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1319.9962573103712,2.0967153284671536,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
52,20th Jan 2025,2024-07-31,2026-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5866.003742689629,2.0967153284671536,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
53,20th Jan 2025,2024-07-31,2026-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1205.0951387930502,2.178832116788321,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
54,20th Jan 2025,2024-07-31,2026-10-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,5980.90486120695,2.178832116788321,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
55,20th Jan 2025,2024-07-31,2026-11-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1169.0698874251136,2.2636861313868613,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
56,20th Jan 2025,2024-07-31,2026-11-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6016.930112574886,2.2636861313868613,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
57,20th Jan 2025,2024-07-31,2026-12-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1057.1766254176575,2.3458029197080292,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
58,20th Jan 2025,2024-07-31,2026-12-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6128.823374582343,2.3458029197080292,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
59,20th Jan 2025,2024-07-31,2027-01-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,1014.3363156024255,2.431211498973306,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
60,20th Jan 2025,2024-07-31,2027-01-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6171.663684397575,2.431211498973306,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
61,20th Jan 2025,2024-07-31,2027-02-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,935.7110111299633,2.516084873374401,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
62,20th Jan 2025,2024-07-31,2027-02-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6250.2889888700365,2.516084873374401,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
63,20th Jan 2025,2024-07-31,2027-03-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,773.237199062956,2.5927446954141,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
64,20th Jan 2025,2024-07-31,2027-03-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6412.762800937044,2.5927446954141,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
65,20th Jan 2025,2024-07-31,2027-04-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,774.3872006570787,2.6776180698151952,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
66,20th Jan 2025,2024-07-31,2027-04-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6411.612799342922,2.6776180698151952,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
67,20th Jan 2025,2024-07-31,2027-05-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,670.3596872900287,2.759753593429158,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
68,20th Jan 2025,2024-07-31,2027-05-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6515.640312709971,2.759753593429158,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
69,20th Jan 2025,2024-07-31,2027-06-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,609.6975377227063,2.844626967830253,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
70,20th Jan 2025,2024-07-31,2027-06-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6576.302462277294,2.844626967830253,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
71,20th Jan 2025,2024-07-31,2027-07-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,508.9521736258021,2.926762491444216,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
72,20th Jan 2025,2024-07-31,2027-07-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6677.047826374198,2.926762491444216,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
73,20th Jan 2025,2024-07-31,2027-08-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,440.8534861001599,3.0116358658453115,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
74,20th Jan 2025,2024-07-31,2027-08-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6745.14651389984,3.0116358658453115,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
75,20th Jan 2025,2024-07-31,2027-09-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,354.9221674984222,3.0965092402464065,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
76,20th Jan 2025,2024-07-31,2027-09-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6831.077832501578,3.0965092402464065,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
77,20th Jan 2025,2024-07-31,2027-10-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,259.25429752308906,3.1786447638603694,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
78,20th Jan 2025,2024-07-31,2027-10-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,6926.745702476911,3.1786447638603694,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
79,20th Jan 2025,2024-07-31,2027-11-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,179.6512649295182,3.263518138261465,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
80,20th Jan 2025,2024-07-31,2027-11-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,7006.348735070482,3.263518138261465,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
81,20th Jan 2025,2024-07-31,2027-12-05,0456PLA00061377,Security,Interest Proceeds,Unrealised,87.47642089579249,3.345653661875428,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
82,20th Jan 2025,2024-07-31,2027-12-05,0456PLA00061377,Security,Principal Proceeds,Unrealised,7095.309694880911,3.345653661875428,0,0,INR,Asset,EMI Loans,,,,AFL,0456PLA00061377,anil,anil,2025-02-07 19:05:56.588282,2025-02-07 19:05:56.588282
